"Value","Designator","Footprint","LCSC Part Number","Digikey Part Number","Comments"
"1nF","C2","C_0402_1005Metric","","",""
"100nF","C3","C_0402_1005Metric","","",""
"1uF","C1,C4","C_0402_1005Metric","","",""
"PCB_USB_C_Receptacle","J2","usb-c-one-sided","","",""
"1k","R1","R_0402_1005Metric","","",""
"5.1k","R2","R_0402_1005Metric","","",""
"SK6805-E-J","RGB1,RGB2,RGB3,RGB4,RGB5","SK6805-E-J","","",""
"SW_Push","SW1","Cherry_ULP_SMD","","",""
"ATSAMD21E17D-M","U1","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm","","",""
"LDK130PU33R_DFN6","U2","DFN-6_1.3x1.2mm_P0.4mm","","",""
